 Year,Month,Day,Time(hhmmss.mm)UTC,Latitude,Longitude,Magnitude,Depth,Catalog
1972,11,2,1955,-20,168.8,7.5,32,NOAA 
1972,12,2,19,6.4,126.6,7.8,73,NOAA 
1972,12,4,1016,33.3,140.7,7.7,66,NOAA 
1973,1,30,2101,18.5,-103,7.8,43,NOAA 
1973,2,6,1037,31.3,100.5,7.7,5,NOAA 
1973,2,28,637,50.4,156.7,7.5,27,NOAA 
1973,3,17,830,13.3,122.7,7.5,33,NOAA 
1973,6,17,355,43.2,145.7,7.7,48,NOAA 
1973,6,24,243,43.4,146.5,7.5,65,NOAA 
1973,7,14,451,35.2,86.4,7.5,22,NOAA 
1973,8,28,950,18.2,-96.6,7.3,75,NOAA 
1973,10,6,1507,-61,-21.7,7.5,33,NOAA 
1973,10,27,659,70.8,54.2,7.6,0,NOAA 
1973,12,28,1341,-14.6,166.8,7.8,13,NOAA 
1973,12,29,19,-15.1,166.9,7.2,13,NOAA 
1974,5,8,2333,34.6,138.8,7,2,NOAA 
1974,7,4,1930,45.2,93.9,7.5,16,NOAA 
1974,7,13,118,7.8,-77.6,7.3,12,NOAA 
1974,10,3,1421,-12.2,-77.8,7.6,13,NOAA 
1974,10,8,950,17.4,-62,7.5,41,NOAA 
1975,1,19,802,32.5,78.4,7,33,NOAA 
1975,2,2,843,53.1,-173.4,7.6,10,NOAA 
1975,2,4,1136,40.6,122.5,7.4,33,NOAA 
1975,5,10,1427,-38.1,-73.2,7.8,6,NOAA 
1975,5,26,911,35.9,-17.6,8.1,33,NOAA 
1975,7,20,1437,-6.5,155,7.9,49,NOAA 
1975,7,20,1954,-7.1,155.2,7.7,44,NOAA 
1975,10,11,1435,-24.9,-175.1,7.8,9,NOAA 
1975,10,31,828,12.5,126,7.6,50,NOAA 
1975,11,29,1448,19.3,-155,7.2,5,NOAA 
1975,12,26,1556,-16.299,-172.5,7.8,33,NOAA 
1976,1,14,1556,-29.2,-177.8,7.8,69,NOAA 
1976,1,14,1647,-29,-177.4,8.2,56,NOAA 
1976,2,4,901,15.3,-89.1,7.5,5,NOAA 
1976,4,8,240,40.3,63.7,7.3,10,NOAA 
1976,5,17,258,40.3,63.4,7.3,30,NOAA 
1976,5,29,1223,24.5,98.9,7.5,8,NOAA 
1976,5,29,14,24.5,98.7,7,10,NOAA 
1976,6,25,1918,-4.6,140,7.1,33,NOAA 
1976,7,27,1942,39.5,117.9,8,23,NOAA 
1976,7,28,1045,39.6,118.4,7.4,26,NOAA 
1976,8,16,1611,6.2,124,8,33,NOAA 
1976,10,29,251,-4.7,140.2,7.2,30,NOAA 
1976,11,24,1222,39.1,44,7.3,36,NOAA 
1976,11,27,2142,36.5,71.1,7,190,NOAA 
1976,11,30,40,-20.5,-68.9,7.3,82,NOAA 
1977,3,4,1921,45.8,26.7,7.2,86,NOAA 
1977,3,18,2143,16.7,122.3,7.5,40,NOAA 
1977,3,21,2118,27.7,56.5,7,33,NOAA 
1977,4,2,715,-16.7,-172.1,7.6,33,NOAA 
1977,4,20,2349,-9.8,160.8,7.5,33,NOAA 
1977,4,21,424,-9.9,160.7,8.1,33,NOAA 
1977,6,22,1208,-22.8,-175.9,7.2,65,NOAA 
1977,8,19,608,-11.1,118.5,8,3,NOAA 
1977,11,23,926,-31,-67.8,7.4,4,NOAA 
1978,2,9,2135,-30.7,-177.4,7.7,33,NOAA 
1978,3,23,31,44.3,149,7.6,40,NOAA 
1978,3,23,315,44.9,148.4,7.5,33,NOAA 
1978,3,24,1947,44.2,148.9,7.6,33,NOAA 
1978,3,24,2105,42.8,78.6,7.2,34,NOAA 
1978,6,12,814,38.2,142,7.7,44,NOAA 
1978,7,24,2354,22.1,121.4,8,18,NOAA 
1978,9,16,1535,33.2,57.4,7.7,33,NOAA 
1978,11,29,1952,16.1,-96.5,7.8,49,NOAA 
1978,12,6,1402,44.7,146.4,7.5,97,NOAA 
1979,3,14,1107,17.8,-101.3,7.6,49,NOAA 
1979,4,15,619,42.1,19.1,7,33,NOAA 
1979,9,12,517,-1.7,135.9,8.1,5,NOAA 
1979,10,12,1025,-46.7,165.7,7.5,33,NOAA 
1979,11,27,1710,34.1,59.9,7.1,10,NOAA 
1979,12,12,759,1.6,-79.3,7.9,24,NOAA 
1980,7,8,2319,-12.4,166.4,7.8,33,NOAA 
1980,7,17,1942,-12.5,166.9,8,33,NOAA 
1980,10,10,1225,36.2,1.4,7.7,5,NOAA 
1980,11,8,1027,41.2,-124.4,7,14,NOAA 
1981,5,25,525,-48.8,164.4,7.6,33,NOAA 
1981,7,28,1722,30,57.8,7.3,33,NOAA 
1981,9,1,929,-15,-173.1,7.9,25,NOAA 
1981,10,16,325,-33.1,-73.1,7.5,33,NOAA 
1981,10,25,322,18.2,-102,7.4,28,NOAA 
1981,12,19,1410,39.2,25.2,7.6,10,NOAA 
1982,1,11,610,13.8,124.3,7.4,38,NOAA 
1982,6,7,1059,16.6,-98.3,7,20,NOAA 
1982,6,19,622,13.2,-89.4,7,75,NOAA 
1982,8,5,2032,-12.6,165.9,7.5,31,NOAA 
1982,12,19,1744,-24.2,-176,7.7,33,NOAA 
1983,3,18,905,-4.9,153.6,7.9,88,NOAA 
1983,4,3,250,8.7,-83.1,7.3,28,NOAA 
1983,5,26,3,40.6,139.1,7.8,24,NOAA 
1983,8,6,1543,40.2,24.7,7,2,NOAA 
1983,10,4,1852,-26.6,-70.6,7.3,5,NOAA 
1983,10,28,1406,44.1,-113.8,7.3,10,NOAA 
1983,11,30,1746,-6.9,72.1,7.7,10,NOAA 
1983,12,30,2352,36.4,71.8,7.2,209,NOAA 
1984,2,7,2133,-10,160.5,7.7,18,NOAA 
1984,3,19,2028,40.3,63.3,7.1,15,NOAA 
1985,3,3,2247,-33.1,-71.7,7.8,36,NOAA 
1985,4,9,156,-34,-71.5,7.5,61,NOAA 
1985,5,10,1536,-5.6,151.1,7.1,27,NOAA 
1985,7,3,437,-4.4,152.8,7.2,46,NOAA 
1985,8,23,1241,39.5,75.3,7.5,7,NOAA 
1985,9,19,1318,18.5,-102.3,8.1,29,NOAA 
1985,9,21,137,17.8,-101.7,7.6,42,NOAA 
1985,11,17,940,-1.8,134.8,7.3,10,NOAA 
1985,11,28,349,-14,166.2,7.6,33,NOAA 
1985,12,21,113,-14,166.5,7.6,43,NOAA 
1986,5,7,2247,51.5,-174.8,7.7,19,NOAA 
1986,10,20,646,-28.1,-176.4,8.8,33,NOAA 
1986,11,14,2120,23.9,121.8,7.8,38,NOAA 
1987,2,8,1834,-6.1,147.7,7.6,62,NOAA 
1987,3,5,917,-24.4,-70.3,7.3,63,NOAA 
1987,8,8,1548,-19,-70,7.1,42,NOAA 
1987,9,3,640,-58.9,158.5,7.7,33,NOAA 
1987,10,16,2048,-6.2,149.1,7.7,48,NOAA 
1987,11,30,1923,58.8,-142.6,7.7,10,NOAA 
1988,3,6,2235,57.3,-142.8,7.6,10,NOAA 
1988,8,6,36,25.1,95.1,7.2,100,NOAA 
1988,8,10,438,-10.3,160.9,7.4,40,NOAA 
1988,11,6,1303,22.8,99.6,7.6,18,NOAA 
1989,4,25,1429,16.8,-99.3,7.3,21,NOAA 
1989,5,23,1054,-52.4,160.6,8.3,10,NOAA 
1989,10,18,         ,37.1,-121.8,7.1,19,NOAA 
1989,11,1,1825,39.9,142.8,7.5,29,NOAA 
1989,12,15,1844,8.3,126.7,7.3,24,NOAA 
1990,3,25,1322,9.9,-84.8,7,22,NOAA 
1990,4,5,2112,15.1,147.6,7.5,11,NOAA 
1990,4,18,1339,1.2,122.9,7.4,26,NOAA 
1990,5,20,222,5.1,32.099,7.1,15,NOAA 
1990,5,24,20,5.4,31.8,7,16,NOAA 
1990,5,30,1040,45.8,26.7,7.1,89,NOAA 
1990,6,14,740,11.8,121.9,7.1,18,NOAA 
1990,6,20,21,37,49.4,7.7,19,NOAA 
1990,7,16,726,15.7,121.2,7.8,25,NOAA 
1991,1,5,1457,23.6,95.9,7.3,20,NOAA 
1991,4,22,2157,9.7,-83.1,7.6,10,NOAA 
1991,4,29,913,42.5,43.7,7.3,17,NOAA 
1991,6,20,519,1.2,122.8,7.2,31,NOAA 
1991,10,19,2123,30.8,78.8,7,10,NOAA 
1991,11,19,2228,4.5,-77.4,7,21,NOAA 
1992,4,25,1806,40.4,-124.3,7.1,15,NOAA 
1992,5,17,1015,7.2,126.8,7.5,33,NOAA 
1992,6,28,1158,34.2,-116.4,7.6,1,NOAA 
1992,8,19,205,42.1,73.6,7.5,27,NOAA 
1992,9,2,16,11.7,-87.3,7.2,45,NOAA 
1992,9,11,357,-6.1,26.7,7,11,NOAA 
1992,10,11,1924,-19.2,169,7.2,129,NOAA 
1992,10,17,833,6.8,-76.8,7,14,NOAA 
1992,10,18,1512,7.1,-76.9,7.4,10,NOAA 
1992,12,12,529,-8.5,121.9,7.5,28,NOAA 
1993,1,15,1106,43.3,143.7,7.1,102,NOAA 
1993,6,8,1304,51.2,157.8,7.5,71,NOAA 
1993,7,12,1317,42.9,139.2,7.7,17,NOAA 
1993,8,8,834,13,144.8,8.2,59,NOAA 
1993,9,10,1913,14.7,-92.7,7.3,34,NOAA 
1993,10,13,206,-5.9,146,7.2,25,NOAA 
1994,2,15,1708,-5,104.3,7,23,NOAA 
1994,3,9,2328,-18,-178.4,7.6,563,NOAA 
1994,6,2,1818,-10.5,112.8,7.8,18,NOAA 
1994,6,9,33,-13.8,-67.6,8.2,631,NOAA 
1994,6,18,325,-43,171.7,7.1,14,NOAA 
1994,10,4,1323,43.8,147.3,8.3,14,NOAA 
1994,11,14,1916,13.6,121.1,7.1,32,NOAA 
1994,12,28,1219,40.5,143.4,7.8,27,NOAA 
1995,1,6,223734,40.2,142.2,7.0,26,PDE  
1995,2,5,225105,-37.8,178.8,7.1,21,PDE  
1995,4,7,220657,-15.2,-173.5,7.4,21,PDE  
1995,4,21,3446,12.1,125.6,7.2,20,PDE  
1995,5,5,35345,12.6,125.3,7.1,16,PDE  
1995,5,16,201244,-23.0,169.9,7.7,20,PDE  
1995,5,27,130353,52.6,142.8,7.1,11,PDE  
1995,7,3,195051,-29.2,-177.6,7.2,35,PDE  
1995,7,30,51124,-23.3,-70.3,8.0,45,PDE  
1995,8,16,102729,-5.8,154.2,7.7,30,PDE  
1995,8,16,231024,-5.8,154.3,7.2,33,PDE  
1995,8,23,70603,18.9,145.2,7.1,594,PDE  
1995,9,14,140431,16.8,-98.6,7.4,23,PDE  
1995,10,3,15124,-2.8,-77.9,7.0,24,PDE  
1995,10,9,153554,19.1,-104.2,8.0,33,PDE  
1995,10,18,103726,27.9,130.2,7.1,28,PDE  
1995,10,21,23857,16.8,-93.5,7.2,159,PDE  
1995,11,22,41512,28.8,34.8,7.2,10,PDE  
1995,12,3,180109,44.7,149.3,7.9,33,PDE  
1995,12,25,44324,-6.9,129.2,7.1,141,PDE  
1996,1,1,80511,0.7,119.9,7.9,24,PDE  
1996,2,7,213646,45.3,149.9,7.2,42,PDE  
1996,2,17,55931,-0.9,137.0,8.2,33,PDE  
1996,2,21,125101,-9.6,-79.6,7.5,10,PDE  
1996,2,25,30816,16.0,-98.1,7.1,21,PDE  
1996,4,16,3055,-24.1,-177.0,7.2,110,PDE  
1996,4,29,144041,-6.5,155.0,7.2,44,PDE  
1996,6,2,25210,10.8,-42.3,7.0,10,PDE  
1996,6,10,40335,51.6,-177.6,7.9,33,PDE  
1996,6,10,152456,51.5,-176.8,7.3,26,PDE  
1996,6,11,182256,12.6,125.2,7.1,33,PDE  
1996,6,17,112219,-7.1,122.6,7.9,587,PDE  
1996,7,22,141936,1.0,120.5,7.0,33,PDE  
1996,8,5,223822,-20.7,-178.3,7.4,550,PDE  
1996,11,12,165944,-15.0,-75.7,7.7,33,PDE  
1997,1,11,202826,18.2,-102.8,7.2,33,PDE  
1997,1,23,21523,-22.0,-65.7,7.1,276,PDE  
1997,2,27,210802,30.0,68.2,7.1,33,PDE  
1997,4,21,120226,-12.6,166.7,7.7,33,PDE  
1997,5,10,75730,33.8,59.8,7.3,10,PDE  
1997,5,25,232233,-32.1,179.8,7.1,332,PDE  
1997,7,9,192413,10.6,-63.5,7.0,19,PDE  
1997,9,20,161132,-28.7,-177.6,7.0,30,PDE  
1997,10,14,95318,-22.1,-176.8,7.8,167,PDE  
1997,10,15,10333,-30.9,-71.2,7.1,58,PDE  
1997,10,28,61517,-4.4,-76.7,7.2,112,PDE  
1997,11,8,100253,35.1,87.3,7.5,33,PDE  
1997,11,15,185924,-15.1,167.4,7.0,123,PDE  
1997,11,25,121434,1.2,122.5,7.0,24,PDE  
1997,12,5,112655,54.8,162.0,7.8,33,PDE  
1997,12,22,20550,-5.5,147.9,7.2,179,PDE  
1998,1,4,61159,-22.3,170.9,7.5,100,PDE  
1998,1,30,121609,-23.9,-70.2,7.1,42,PDE  
1998,3,25,31225,-62.9,149.5,8.1,10,PDE  
1998,3,29,194816,-17.6,-179.1,7.2,537,PDE  
1998,4,1,175623,-0.5,99.3,7.0,55,PDE  
1998,5,3,233022,22.3,125.3,7.5,33,PDE  
1998,7,16,115636,-11.0,166.2,7.0,110,PDE  
1998,7,17,84913,-3.0,141.9,7.0,10,PDE  
1998,8,4,185920,-0.6,-80.4,7.2,33,PDE  
1998,8,20,64056,28.9,139.3,7.1,440,PDE  
1998,11,9,53844,-6.9,128.9,7.0,33,PDE  
1998,11,29,141032,-2.1,124.9,7.7,33,PDE  
1999,1,19,33534,-4.6,153.2,7.0,114,PDE  
1999,2,6,214759,-12.9,166.7,7.3,90,PDE  
1999,3,4,85202,5.4,121.9,7.1,33,PDE  
1999,4,5,110804,-5.6,149.6,7.4,150,PDE  
1999,4,8,131034,43.6,130.4,7.1,565,PDE  
1999,5,10,203302,-5.2,150.9,7.1,138,PDE  
1999,5,16,5120,-4.8,152.5,7.1,73,PDE  
1999,6,15,204206,18.4,-97.4,7.0,70,PDE  
1999,8,17,139,40.7,29.9,7.6,17,PDE  
1999,9,20,174718,23.8,121.0,7.7,33,PDE  
1999,9,30,163116,16.1,-96.9,7.5,60,PDE  
1999,10,16,94644,34.6,-116.3,7.1,0,PDE  
1999,11,12,165720,40.8,31.2,7.2,10,PDE  
1999,11,15,54243,-1.3,89.0,7.0,10,PDE  
1999,11,19,135646,-6.4,148.8,7.0,33,PDE  
1999,11,26,132116,-16.4,168.2,7.5,33,PDE  
1999,12,6,231234,57.4,-154.5,7.0,66,PDE  
1999,12,11,180336,15.8,119.7,7.3,33,PDE  
2000,1,8,164721,-16.9,-174.2,7.2,183,PDE  
2000,2,25,14359,-19.5,173.8,7.1,33,PDE  
2000,3,28,110023,22.3,143.7,7.6,126,PDE  
2000,4,23,92723,-28.3,-63.0,7.0,608,PDE  
2000,5,4,42116,-1.1,123.6,7.6,26,PDE  
2000,5,12,184318,-23.5,-66.5,7.2,225,PDE  
2000,6,4,162826,-4.7,102.1,7.9,33,PDE  
2000,6,18,144413,-13.8,97.5,7.9,10,PDE  
2000,8,6,72713,28.9,139.6,7.4,394,PDE  
2000,10,4,165844,-15.4,166.9,7.0,23,PDE  
2000,10,29,83709,-4.8,153.9,7.0,50,PDE  
2000,11,16,45457,-4.0,152.2,8.0,33,PDE  
2000,11,16,74217,-5.2,153.1,7.8,30,PDE  
2000,11,17,210156,-5.5,151.8,7.8,33,PDE  
2000,12,6,171106,39.6,54.8,7.0,30,PDE  
2001,1,1,65704,6.9,126.6,7.5,33,PDE  
2001,1,9,164928,-14.9,167.2,7.1,103,PDE  
2001,1,10,160244,57.1,-153.2,7.0,33,PDE  
2001,1,13,173332,13.0,-88.7,7.7,60,PDE  
2001,1,26,31641,23.4,70.2,7.7,16,PDE  
2001,2,13,192830,-4.7,102.6,7.4,36,PDE  
2001,2,24,72349,1.3,126.2,7.1,35,PDE  
2001,6,3,24157,-29.7,-178.6,7.2,178,PDE  
2001,6,23,203314,-16.3,-73.6,8.4,33,PDE  
2001,7,7,93844,-17.5,-72.1,7.6,33,PDE  
2001,8,21,65206,-36.8,-179.6,7.1,33,PDE  
2001,10,12,150217,12.7,145.0,7.0,37,PDE  
2001,10,19,32844,-4.1,123.9,7.5,33,PDE  
2001,10,31,91020,-5.9,150.2,7.0,33,PDE  
2001,11,14,92610,35.9,90.5,7.8,10,PDE  
2001,12,12,140235,-42.8,124.7,7.1,10,PDE  
2002,1,2,172249,-17.6,167.9,7.2,21,PDE  
2002,3,3,120820,36.5,70.5,7.4,225,PDE  
2002,3,5,211609,6.0,124.2,7.5,31,PDE  
2002,3,31,65250,24.3,122.2,7.1,32,PDE  
2002,4,26,160607,13.1,144.6,7.1,85,PDE  
2002,6,28,171930,43.8,130.7,7.3,566,PDE  
2002,8,19,110101,-21.7,-179.5,7.7,580,PDE  
2002,8,19,110824,-23.9,178.5,7.7,675,PDE  
2002,9,8,184424,-3.3,142.9,7.6,13,PDE  
2002,10,10,105021,-1.8,134.3,7.6,10,PDE  
2002,11,2,12611,2.8,96.1,7.4,30,PDE  
2002,11,3,221241,63.5,-147.4,7.9,4,PDE  
2002,11,17,45354,47.8,146.2,7.3,459,PDE  
2003,1,20,84306,-10.5,160.8,7.3,33,PDE  
2003,1,22,20635,18.8,-104.1,7.6,24,PDE  
2003,3,17,163617,51.3,178.0,7.1,33,PDE  
2003,5,26,92433,38.8,141.6,7.0,68,PDE  
2003,5,26,192328,2.4,128.9,7.0,31,PDE  
2003,6,20,61939,-7.6,-71.7,7.1,558,PDE  
2003,7,15,202751,-2.6,68.4,7.6,10,PDE  
2003,8,4,43720,-60.5,-43.4,7.6,10,PDE  
2003,8,21,121250,-45.1,167.1,7.2,28,PDE  
2003,9,25,195006,41.8,143.9,8.3,27,PDE  
2003,9,25,210800,41.8,143.6,7.4,33,PDE  
2003,9,27,113325,50.0,87.8,7.3,16,PDE  
2003,10,31,10628,37.8,142.6,7.0,10,PDE  
2003,11,17,64307,51.1,178.7,7.8,33,PDE  
2003,12,27,160059,-22.0,169.8,7.3,10,PDE  
2004,1,3,162321,-22.3,169.7,7.1,22,PDE  
2004,2,5,210503,-3.6,135.5,7.0,16,PDE  
2004,2,7,24235,-4.0,135.0,7.3,10,PDE  
2004,7,15,42715,-17.7,-178.8,7.1,565,PDE  
2004,7,25,143519,-2.4,104.0,7.3,582,PDE  
2004,9,5,100708,33.1,136.6,7.2,14,PDE  
2004,9,5,145719,33.2,137.1,7.4,10,PDE  
2004,10,9,212654,11.4,-86.7,7.0,35,PDE  
2004,11,11,212641,-8.2,124.9,7.5,10,PDE  
2004,11,15,90657,4.7,-77.5,7.2,15,PDE  
2004,11,22,202624,-46.7,164.7,7.1,10,PDE  
2004,11,26,22503,-3.6,135.4,7.1,10,PDE  
2004,11,28,183214,43.0,145.1,7.0,39,PDE  
2004,12,23,145904,-49.3,161.3,8.1,10,PDE  
2004,12,26,5853,3.3,96.0,9.1,30,PDE  
2004,12,26,42130,6.9,93.0,7.2,39,PDE  
2005,2,5,122319,5.3,123.3,7.1,525,PDE  
2005,3,2,104212,-6.5,129.9,7.1,201,PDE  
2005,3,28,160937,2.1,97.1,8.6,30,PDE  
2005,6,13,224434,-20.0,-69.2,7.8,115,PDE  
2005,6,15,25054,41.3,-126.0,7.2,16,PDE  
2005,7,24,154206,7.9,92.2,7.2,16,PDE  
2005,8,16,24628,38.3,142.0,7.2,36,PDE  
2005,9,9,72644,-4.5,153.5,7.6,90,PDE  
2005,9,26,15538,-5.7,-76.4,7.5,115,PDE  
2005,10,8,35041,34.5,73.6,7.6,26,PDE  
2005,11,14,213851,38.1,144.9,7.0,11,PDE  
2006,1,2,61050,-61.0,-21.6,7.4,13,PDE  
2006,1,2,221340,-19.9,-178.2,7.2,582,PDE  
2006,1,27,165854,-5.5,128.1,7.6,397,PDE  
2006,2,22,221908,-21.3,33.6,7.0,11,PDE  
2006,4,20,232502,60.9,167.1,7.6,22,PDE  
2006,5,3,152640,-20.2,-174.1,8.0,55,PDE  
2006,5,16,103923,-31.8,-179.3,7.4,152,PDE  
2006,7,17,81927,-9.3,107.4,7.7,20,PDE  
2006,8,20,34148,-61.0,-34.4,7.0,13,PDE  
2006,11,15,111414,46.6,153.3,8.3,10,PDE  
2006,12,26,122621,21.8,120.5,7.1,10,PDE  
2007,1,13,42321,46.2,154.5,8.1,10,PDE  
2007,1,21,112745,1.1,126.3,7.5,22,PDE  
2007,3,25,4002,-20.6,169.4,7.1,34,PDE  
2007,4,1,203959,-8.5,157.0,8.1,24,PDE  
2007,8,1,170851,-15.6,167.7,7.2,120,PDE  
2007,8,8,170505,-5.9,107.4,7.5,280,PDE  
2007,8,15,234058,-13.4,-76.6,8.0,39,PDE  
2007,9,2,10518,-11.6,165.8,7.2,35,PDE  
2007,9,12,111027,-4.4,101.4,8.5,34,PDE  
2007,9,12,234904,-2.6,100.8,7.9,35,PDE  
2007,9,13,33529,-2.1,99.6,7.0,22,PDE  
2007,9,28,133858,22.0,142.7,7.5,260,PDE  
2007,9,30,52334,-49.3,164.1,7.4,10,PDE  
2007,10,31,33016,18.9,145.4,7.2,207,PDE  
2007,11,14,154051,-22.2,-69.9,7.7,40,PDE  
2007,11,29,190020,14.9,-61.3,7.4,156,PDE  
2007,12,9,72821,-26.0,-177.5,7.8,152,PDE  
2007,12,19,93028,51.4,-179.5,7.2,34,PDE  
2008,2,20,80831,2.8,96.0,7.4,26,PDE  
2008,2,25,83633,-2.5,100.0,7.2,25,PDE  
2008,3,20,223258,35.5,81.5,7.2,10,PDE  
2008,4,9,124613,-20.1,168.9,7.3,33,PDE  
2008,4,12,3013,-55.7,158.5,7.1,16,PDE  
2008,5,12,62802,31.0,103.3,7.9,19,PDE  
2008,6,30,61743,-58.2,-22.1,7.0,8,PDE  
2008,7,5,21204,53.9,152.9,7.7,632,PDE  
2008,7,19,23929,37.6,142.2,7.0,22,PDE  
2008,9,29,151932,-29.8,-177.7,7.0,36,PDE  
2008,11,16,170233,1.3,122.1,7.4,30,PDE  
2008,11,24,90259,54.2,154.3,7.3,492,PDE  
2009,1,3,194351,-0.4,132.9,7.7,17,PDE  
2009,1,3,223340,-0.7,133.3,7.4,23,PDE  
2009,1,15,174939,46.9,155.2,7.4,36,PDE  
2009,2,11,173450,3.9,126.4,7.2,20,PDE  
2009,2,18,215345,-27.4,-176.3,7.0,25,PDE  
2009,3,19,181740,-23.0,-174.7,7.6,31,PDE  
2009,5,28,82447,16.7,-86.2,7.3,19,PDE  
2009,7,15,92229,-45.8,166.6,7.8,12,PDE  
2009,8,9,105555,33.2,137.9,7.1,292,PDE  
2009,8,10,195539,14.1,92.9,7.5,24,PDE  
2009,9,2,75501,-7.8,107.3,7.0,46,PDE  
2009,9,29,174811,-15.5,-172.1,8.1,18,PDE  
2009,9,30,101609,-0.7,99.9,7.6,81,PDE  
2009,10,7,220314,-13.0,166.5,7.7,45,PDE  
2009,10,7,221851,-12.5,166.4,7.8,35,PDE  
2009,10,7,231348,-13.1,166.5,7.4,31,PDE  
2009,11,9,104455,-17.2,178.3,7.3,595,PDE  
2010,1,3,223628,-8.8,157.3,7.1,25,PDE-W
2010,1,12,215310,18.4,-72.6,7.0,13,PDE-W
2010,2,26,203127,25.9,128.4,7.0,25,PDE-W
2010,2,27,63412,-36.1,-72.9,8.8,22,PDE-W
2010,4,4,224043,32.3,-115.3,7.2,4,PDE-W
2010,4,6,221502,2.4,97.0,7.8,31,PDE-W
2010,5,9,55942,3.7,96.0,7.2,38,PDE-W
2010,5,27,171447,-13.7,166.6,7.1,31,PDE-W
2010,6,12,192650,7.9,91.9,7.5,35,PDE-W
2010,6,16,31628,-2.2,136.5,7.0,18,PDE-W
2010,7,18,133459,-5.9,150.6,7.3,35,PDE-W
2010,7,23,220811,6.7,123.4,7.3,607,PDE-W
2010,7,23,225112,6.5,123.5,7.6,585,PDE-W
2010,7,23,231510,6.8,123.3,7.4,640,PDE-W
2010,8,4,220144,-5.7,150.8,7.0,44,PDE-W
2010,8,10,52345,-17.5,168.1,7.3,25,PDE-W
2010,8,12,115416,-1.3,-77.3,7.1,206,PDE-W
2010,9,3,163548,-43.5,171.8,7.0,12,PDE-W
2010,9,29,171126,-5.0,133.8,7.0,26,PDE-W
2010,10,25,144222,-3.5,100.1,7.8,20,PDE-W
2010,12,21,171941,26.9,143.7,7.4,14,PDE-Q
2010,12,25,131637,-19.7,167.9,7.3,16,PDE-Q
2011,1,1,95658,-26.8,-63.1,7.0,576,PDE-Q
2011,1,2,202018,-38.4,-73.3,7.1,24,PDE-Q
2011,1,13,161642,-20.6,168.5,7.0,9,PDE-Q
2011,1,18,202324,28.8,63.9,7.2,68,PDE-Q
2011,3,9,24520,38.4,142.8,7.5,32,PDE-Q
2011,3,11,54624,38.3,142.4,9.1,30,PDE-Q
2011,3,11,61540,36.3,141.1,7.9,35,PDE-Q
2011,3,11,62550,38.1,144.6,7.7,18,PDE-Q
2011,4,7,143243,38.3,141.6,7.1,42,PDE-Q
